,size_decile,pre_beta_decile,n_firms,mean_lnME,mean_pre_beta,Date
0,1,1,24,8.15005353448076,0.361520567817149,1999-06-30
1,1,2,8,7.802269829153091,1.0548149266073592,1999-06-30
2,1,3,7,7.794374676093294,1.2809630419481424,1999-06-30
3,1,4,6,7.6931957987036235,1.5868744902165683,1999-06-30
4,1,5,7,7.916222244982866,1.7585174378967283,1999-06-30
5,1,6,6,8.193419636270818,1.90066930038362,1999-06-30
6,1,7,6,7.858681712193431,2.119316387105457,1999-06-30
7,1,8,7,7.473719866582693,2.3927758182228733,1999-06-30
8,1,9,6,7.194542845014694,2.718008044061739,1999-06-30
9,1,10,8,7.491982356881355,3.913847854329167,1999-06-30
10,2,1,43,9.018715675028336,0.34256948945453747,1999-06-30
11,2,2,12,9.059444298407184,0.9297353204294722,1999-06-30
12,2,3,8,9.124340879021533,1.062502196617694,1999-06-30
13,2,4,7,9.073824447991273,1.1371602031093777,1999-06-30
14,2,5,10,9.001892222471593,1.3303280029907014,1999-06-30
15,2,6,6,8.994361669473955,1.445564365974746,1999-06-30
16,2,7,8,8.887914961687652,1.5676832629159456,1999-06-30
17,2,8,7,8.990611083350789,1.667633651067602,1999-06-30
18,2,9,6,9.105782447456463,1.936648765225429,1999-06-30
19,2,10,7,8.999531297053494,2.283504626480101,1999-06-30
20,3,1,21,9.622760480047988,0.2323314994150394,1999-06-30
21,3,2,12,9.582951537530812,0.7154791262232575,1999-06-30
22,3,3,10,9.571830305005799,0.9417605159748131,1999-06-30
23,3,4,7,9.625174559939625,1.1224775664444597,1999-06-30
24,3,5,9,9.59760516916717,1.2522446389350912,1999-06-30
25,3,6,7,9.76750000297069,1.399380481726218,1999-06-30
26,3,7,8,9.66113014040415,1.5360466782180482,1999-06-30
27,3,8,7,9.61393883830596,1.6816540858636875,1999-06-30
28,3,9,7,9.62148690061765,1.8637112486086633,1999-06-30
29,3,10,13,9.549986560564836,2.3790720667127814,1999-06-30
30,4,1,27,10.073392198875464,0.3195591969839686,1999-06-30
31,4,2,12,10.057414531615121,0.7712937170965136,1999-06-30
32,4,3,8,10.141286979725377,0.9846913076837787,1999-06-30
33,4,4,6,10.14702994829641,1.1044282058433144,1999-06-30
34,4,5,7,10.194032669457924,1.1766339035605191,1999-06-30
35,4,6,6,10.122656578653238,1.2482477201374278,1999-06-30
36,4,7,6,10.039614881687895,1.4289048156548105,1999-06-30
37,4,8,8,10.0389284750012,1.5972188717108302,1999-06-30
38,4,9,6,10.151245015909103,1.7938647859248071,1999-06-30
39,4,10,9,10.088653353729908,2.5537455179418957,1999-06-30
40,5,1,23,10.476154254115725,0.33164456509072915,1999-06-30
41,5,2,7,10.509511397377855,0.8283536778961503,1999-06-30
42,5,3,7,10.481813273694499,0.8933422123645407,1999-06-30
43,5,4,9,10.480430289263955,1.0249610908703306,1999-06-30
44,5,5,9,10.49136308951089,1.2285466259433981,1999-06-30
45,5,6,6,10.431012298359237,1.3557388330597362,1999-06-30
46,5,7,7,10.428738542806254,1.4273293342822893,1999-06-30
47,5,8,7,10.443103652228476,1.53905877537499,1999-06-30
48,5,9,7,10.546046153914407,1.7767210179726507,1999-06-30
49,5,10,10,10.50101240688318,2.116875906381049,1999-06-30
50,6,1,13,10.931235938248706,0.21593413478828738,1999-06-30
51,6,2,10,10.9695258003507,0.6602964562753918,1999-06-30
52,6,3,11,10.831573832901604,0.903675153810935,1999-06-30
53,6,4,6,10.851910823804241,1.0065459530137704,1999-06-30
54,6,5,7,10.90046111778578,1.1336401256760216,1999-06-30
55,6,6,7,10.865525732158945,1.2743619343713333,1999-06-30
56,6,7,8,10.865825372181872,1.3425186464465166,1999-06-30
57,6,8,6,10.910745081321467,1.4359538603377728,1999-06-30
58,6,9,6,10.858166499711936,1.5679891631422016,1999-06-30
59,6,10,10,10.916106037212346,2.0056335598673796,1999-06-30
60,7,1,12,11.182676100894328,0.45715465491171875,1999-06-30
61,7,2,8,11.2201145013386,0.8221648103299861,1999-06-30
62,7,3,8,11.253719368149264,0.9488897311444328,1999-06-30
63,7,4,7,11.282668961410211,1.0600570801960356,1999-06-30
64,7,5,6,11.180955391829201,1.1676995078952952,1999-06-30
65,7,6,6,11.315097917238726,1.2358315298051619,1999-06-30
66,7,7,6,11.262529069322227,1.3382868364018832,1999-06-30
67,7,8,7,11.27042493923835,1.4140793753261551,1999-06-30
68,7,9,6,11.249778566583243,1.5220119897157238,1999-06-30
69,7,10,8,11.231021669562839,1.9672125649705332,1999-06-30
70,8,1,10,11.708526381335203,0.4134215230934227,1999-06-30
71,8,2,6,11.664799280933392,0.6845891538041178,1999-06-30
72,8,3,7,11.660006137931068,0.9074860607785052,1999-06-30
73,8,4,7,11.779035110356503,1.034603465987524,1999-06-30
74,8,5,6,11.810178615308454,1.1386350523336655,1999-06-30
75,8,6,6,11.768603181526432,1.1972845629774103,1999-06-30
76,8,7,6,11.664699278180878,1.2707711029974893,1999-06-30
77,8,8,6,11.776727567633337,1.40229275318638,1999-06-30
78,8,9,6,11.795678456701557,1.598483643638778,1999-06-30
79,8,10,9,11.736800699935255,1.8437107755139794,1999-06-30
80,9,1,7,12.302852422403921,0.5505356603681045,1999-06-30
81,9,2,6,12.351816547661654,0.7867222031002966,1999-06-30
82,9,3,6,12.373630328885232,0.9303185376184167,1999-06-30
83,9,4,5,12.167517317785927,1.0266378475636615,1999-06-30
84,9,5,6,12.35131057388036,1.1836110712790495,1999-06-30
85,9,6,7,12.343667443962058,1.3428207941997659,1999-06-30
86,9,7,5,12.250451420017258,1.4189508115473586,1999-06-30
87,9,8,7,12.301133638706064,1.5228572615194356,1999-06-30
88,9,9,6,12.497167641533068,1.7023290094280472,1999-06-30
89,9,10,6,12.43698744140145,2.094231908705118,1999-06-30
90,10,1,7,14.112053631134474,0.5336625002528861,1999-06-30
91,10,2,6,14.345247921419302,0.7825143512308125,1999-06-30
92,10,3,6,13.410432441181067,0.9051581674889829,1999-06-30
93,10,4,7,14.153174030281333,1.0395723447830676,1999-06-30
